t_NvV, E_NvV, dE_NvV, x1_NvV, y1_NvV, x2_NvV, y2_NvV, 
      x3_NvV, y3_NvV, x4_NvV, y4_NvV, x5_NvV, y5_NvV
0.0	,-3.318077013846025e-6	,0.0	,0.0	,0.0	,1.0	,0.0	,0.7232620320855615	,0.0	,1.5233957219251337	,0.0	,1.0025695187165775	,0.0	,	
0.00637173748902287	,-3.318077013846023e-6	,6.381956655313538e-16	,1.595122079084169e-10	,4.621487175353595e-13	,0.9999798134395748	,0.006370013597780763	,0.7232232276463573	,0.007490775132550087	,1.523386974607173	,0.005161487448695428	,1.0025400967679419	,0.00658835719748242	,	
0.012743474978045673	,-3.318077013846021e-6	,1.1487521979564369e-15	,6.38036108987369e-10	,3.697418518024874e-12	,0.9999192537593132	,0.012739787874975117	,0.7231068184883294	,0.014980746451764995	,1.5233607327536638	,0.010322915626552485	,1.0024518987205917	,0.013174881212986857	,	
0.019115212467068456	,-3.3180770138460076e-6	,5.233204457357101e-15	,1.435533536492136e-9	,1.2478687787101174e-11	,0.9998183209699748	,0.019109083372844397	,0.722912817089793	,0.022469110230319285	,1.523316996665709	,0.015484225263409885	,1.0023051273399453	,0.01975775095699702	,	
0.02548694995609124	,-3.318077013846003e-6	,6.637234921526079e-15	,2.551940883161841e-9	,2.957834953837859e-11	,0.9996770151149904	,0.025477660358582874	,0.7226412442464647	,0.0299550629128978	,1.523255766845143	,0.020645357090460528	,1.0021001184862106	,0.026335169343071535	,	
0.031858687445114026	,-3.318077013845995e-6	,9.062378450545223e-15	,3.987169107189033e-9	,5.7768068784026594e-11	,0.9994953363079166	,0.0318452786937651	,0.7222921290692464	,0.037437801202177996	,1.5231770439945302	,0.02580625184092854	,1.0018373380552679	,0.03290537484392298	,	
0.03823042493413681	,-3.3180770138459835e-6	,1.2508635044414533e-14	,5.741103740575255e-9	,9.981853997329972e-11	,0.9992732847833603	,0.038211697709062915	,0.721865508981125	,0.044916522144784615	,1.5230808290171496	,0.030966850250746376	,1.001517377819686	,0.039466652537896996	,	
0.04460216242315959	,-3.3180770138459754e-6	,1.4933778573433677e-14	,7.813604899870906e-9	,1.5849924452176937e-10	,0.9990108609599466	,0.04457667608683628	,0.72136142971319	,0.05239042321720794	,1.5229671230169886	,0.03612709305923179	,1.0011409502838897	,0.04601734451551923	,	
0.050973899912182374	,-3.318077013845971e-6	,1.6210169904496386e-14	,1.0204507299297078e-8	,2.3657820845407767e-10	,0.9987080655137164	,0.05093997175283141	,0.7207799452997595	,0.059858702411676006	,1.5228359272987297	,0.041286921009764936	,1.0007088826869075	,0.05255585954579308	,	
0.05734563740120516	,-3.3180770138459627e-6	,1.87629525666218e-14	,1.2913620266246714e-8	,3.3682176018311976e-10	,0.9983648994601525	,0.057301341777813014	,0.7201211180726307	,0.06732055832197216	,1.5226872433677325	,0.04644627485046528	,1.0002221102973772	,0.059080681935075846	,	
0.06371737489022808	,-3.318077013845964e-6	,1.838003516730299e-14	,1.594072775916211e-8	,4.619942884486629e-10	,0.9979813642430372	,0.06366054228953814	,0.7193850186544377	,0.07477519022918826	,1.5225210729300214	,0.051605095334868456	,0.9996816691481398	,0.06559037954536738	,	
0.07008911237925156	,-3.3180770138459453e-6	,2.39961570239789e-14	,1.9285588387785225e-8	,6.148580004385071e-10	,0.9975574618283859	,0.07001732839507793	,0.7185717259511334	,0.08222179818740531	,1.5223374178922613	,0.05676332322260334	,0.9990886883519586	,0.07208361097151987	,	
0.07646084986827503	,-3.3180770138459365e-6	,2.6676578819210587e-14	,2.2947935435777226e-8	,7.981726801154102e-10	,0.9970931948018921	,0.07637145411313084	,0.7176813271435836	,0.08965958310929069	,1.5221362803617364	,0.06192089928006876	,0.9984443821267528	,0.07855913190625372	,	
0.08283258735729851	,-3.318077013845932e-6	,2.8080609283379565e-14	,2.692747688570318e-8	,1.014695446773096e-9	,0.9965885664685349	,0.08272267231567138	,0.7167139176782849	,0.09708774685160525	,1.5219176626463256	,0.06707776428111024	,0.9977500416391029	,0.08501580074632548	,	
0.08920432484632199	,-3.318077013845928e-6	,2.9229361481336e-14	,3.122389544637756e-8	,1.2671805138447811e-9	,0.9960435809533191	,0.08907073467805145	,0.7156696012571985	,0.1045054923006091	,1.5216815672544768	,0.07223385900769684	,0.997007026750458	,0.09145258351152317	,	
0.09557606233534546	,-3.318077013845928e-6	,2.9229361481336e-14	,3.5836848582566474e-8	,1.5583789479877535e-9	,0.9954582433024451	,0.09541539163653162	,0.714548489826704	,0.11191202345735791	,1.5214279968951752	,0.07738912425059763	,0.9962167577228876	,0.09786855815958316	,	
0.10194779982436894	,-3.3180770138459293e-6	,2.884644408201719e-14	,4.0765968547041504e-8	,1.891038428467621e-9	,0.994832559584562	,0.10175639235216966	,0.7133507035656786	,0.11930654552288086	,1.5211569544779142	,0.08254350081005854	,0.995380706912219	,0.10426291838423733	,	
0.10831953731339242	,-3.318077013845932e-6	,2.8080609283379565e-14	,4.601086241498096e-8	,2.2679030068659636e-9	,0.994166536992129	,0.10809348468003033	,0.712076370872694	,0.126688264983231	,1.5208684431126607	,0.08769692949647846	,0.9945003904475073	,0.11063497698038255	,	
0.1146912748024159	,-3.3180770138459466e-6	,2.361323962466009e-14	,5.157111212071323e-8	,2.6917128671351875e-9	,0.9934601839432254	,0.11442641514281164	,0.7107256283523438	,0.13405638969439881	,1.520562466109816	,0.09284935113108614	,0.9935773598686118	,0.11698416885007305	,	
